id,title,author,text,label
0,Rotary Club provides 28 different medical equipment to Dhading Hospital,Keshav Adhikari,"Dhading Hospital has received ventilators and equipment required for providing services, from the Rotary Club.The club has provided ventilators worth Rs 650,000 to the hospital. Rotary Club Dhading and Rotary Club Narayangadh, through the financial assistance of Rotary Club Honolulu Sunset (USA), extended their support to the hospital by means of providing them with the ventilators, Intensive Care Unit related equipment and other necessary medical equipment under their global grant project.",0
1,New Ambassador of India to Nepal arrives in Kathmandu on Saturday,THT Online,"Naveen Srivastava, the new Ambassador of India to Nepal, arrived in Kathmandu today.Naveen Srivastava is a career diplomat. He is coming from New Delhi where he was heading the East Asia Division that deals with China, Japan, Korea and Mongolia. He headed the Indian delegation in several rounds of diplomatic talks with China on the eastern Ladakh border row. Srivastava has served previously as Ambassador of India in Cambodia from 2015-17. He has also served in Washington, Beijing, Shanghai and Hongkong in various capacities.",0
2,"KMC unveils policies, programmes for new fiscal",HIMALAYAN NEWS SERVICE,"Kathmandu Metropolitan City has unveiled the policies and programmes of the city budget for the coming fiscal year 2022-23 as Mayor Balendra Shah addressed the first meeting of the 11th session of the Municipal Council today. During the meeting, Mayor Shah announced plans to develop the cultural city Kathmandu as a model city.He said that the economic, social, and cultural reform and development works of the entire metropolis would be carried out maintaining ecological balance and ensuring greenery. Mayor Shah has brought the budget for the coming fiscal year within oneand-a-half months after winning the mayoral post as independent candidate. He has also announced that the city will be developed as a hub for international film-making and that Kathmandu Metropolitan City would be developed as a fully literate city through the policies and programmes. Following are the highlights of KMC's plans and policies: Sustainable and systematic solution for waste management of Kathmandu will be sought to make the city clean and ecological.Upgradation and improvement of wards will be done in direct connection with the people. Road network and drinking water will be managed.Provision of Rs 50 million has been made for construction of Madan Bhandari Memorial college, Rs 40 million for construction of National Health Child Care Hospital building, and Rs 50 million for construction of Chhetrapati Free Clinic.Melamchi Municipality and Panchpokhari Village Municipality will be provided Rs 25 million and Rs five million respectively for disaster management.Kathmandu Metropolitan City will be declared as a literate metropolis.Infrastructure ambulance will be continued and necessary materials will be provided for traditional fencing in public transport waiting rooms.Monasteries and stupas and chaityas at the World Heritage sites will be preserved and promoted.Kathmandu Metropolitan City will be developed as an international film and historical centre. International branding of Newari-produced beverages will be carried out.CCTV cameras will be installed in all the offices within the metropolis.The mayor's programme will be held on the first Sunday of every month to discuss revenue and finance issues. Apps will be developed to keep electronic data. Companies will be managed for real estate business.Tax rates will be modified - online system for tax collection will be further improved.Size and location of promotional materials, including advertisements, hoarding boards. Tax rates of multi-storey buildings within the municipality will be revised.Grants will be provided for production of local and foreign films. Tax offices will be open even on holidays.Parking lots will be managed effectively.CCTV surveillance with GPS tracking will be ensured in public vehicles and places.Private sector will be encouraged.Feasibility study for underground parking with reverse boring will be carried out in the metropolis. KMC's own mart will open and senior citizens' meeting centre will be put in place.Banks and financial institutions will be encouraged to arrange disability-friendly banks and ATMs. Infrastructure for open gymnasium, aerobics, yoga and other sports will be developed.Sports projects in collaboration with national and international clubs will be launched. Flood lights for night sports will also be arranged.Skill development and entrepreneurship will be promoted.Trainings related to sculpture, woodwork and metalwork will be provided to interested youths. Technical assistance will be provided to industries and start-up businesses.Tax exemption and concessions will be provided on need basis. Sale and distribution of local products in shopping centres and department stores will be encouraged. Arrangements will be made to keep the night business safe and dignified.Policy related to cooperatives will be introduced. Arrangements will be made to renew the registration and renewal of cooperatives electronically.E-cooperative programme for institutional development, expansion and improvement of organisations will be introduced.",0
3,Journalist Rabi Lamichhane announces new political party,"HIMALYAN NEWS SERVICE
","Former TV anchor Rabi Lamichhane has announced a new political party: the National Independent Party, ending his career as journalist, and begun his new journey as politician from today.Lamichhane announced the National Independent Party amidst an event organised at the National City Hall Today. He said he had opened the new party to clean the dirty politics of the country. The party's election symbol is bell. He also said ""We will ring the bell in the minds of the corrupt"". He also announced he would register a political party at the Election Commission today.Lamichhane said that 21 members had been included in the central committee. He has not made the names public yet. Lamichhane also urged people to join his political party digitally from today itself. He said digital democracy was one of the main features of the National Independent Party.""Members of the party can vote for any major decision digitally from any part of the country. The seven features of the National Independent Party are: preliminary election, majority of youths, direct-elected prime minister and chief ministers, right to recall and right to reject, digital democracy, prohibition of nepotism and sister organisations.Meanwhile, CPN-UML Politburo member Surya Thapa has said that the National Independent Party should not be registered by the Election Commission. He wrote on his social media handle: ""Legally independent candidacy is the sovereign right of all the people. But it is against the law to form an independent party by seizing the rights reserved by law to allow people to contest and win elections freely. If anyone tries to form a party in such a way as to create confusion, the Election Commission should not register it.When asked whether Lamichhane's party will be registered with the EC, Spokesperson of the EC Shaligram Poudel said, "" An application has been registered and investigation will be conducted to see whether or not the party meets all the registration and constitutional processes for registration.""",0
4,NOC slashes fuel prices,"Himalayan News Service
","Offering some respite to the general public grappling with the spike in fuel prices, Nepal Oil Corporation has decided to reduce the prices of petrol, diesel and kerosene despite facing huge losses after the government announced it would lift taxes levied on fuel.A meeting of the ruling coalition held earlier today had decided to adjust the price of petroleum products in an attempt to reduce the problems suffered by the general public due to skyrocketing fuel prices. Following the Cabinet's decision, the Minister of Industry, Commerce and Supplies Dilendra Prasad Badu stated that the prices of petroleum products have been reduced by removing taxes.Thus, the price of petrol has been slashed by Rs 20 per litre to Rs 179 a litre. Similarly, the price of diesel and kerosene has been reduced by Rs 29 per litre to Rs 163 per litre each.According to NOC Spokesperson Binit Mani Upadhyaya, the new price of petroleum products will come into effect from tomorrow.The recent hike in fuel prices has sparked multiple demonstrations and protests in the capital.The NOC has raised the price of petroleum products dozens of times in line with the rates sent to it by the Indian Oil Corporation.During its most recent revision, it had hiked the price of petrol by Rs 21 a litre, while the prices of diesel and kerosene had been raised by Rs 27 per litre. The price of domestic aviation fuel had also been raised by Rs 19 per litre.Subsequently, the domestic airline operators as well as the public transport operators had increased their fares, adding to the woes of the general public and further fuelling fears of runaway inflation.",0
5,Karnali Chief Minister reaches Mugu to provide relief to fire victims,Rastriya Samachar Samiti,"Chief Minister of Karnali province Jeevan Bahadur Shahi has reached Mugu to distribute relief to the fire victims.CM Shahi was headed to the Mugu district headquarters Gamgadhi, in a Nepali Army helicopter along with food grains, blankets, utensils, tarpaulin tents and other goods. Newly-appointed province minister for land management, agriculture and cooperatives, Chandra Bahadur Shahi, Province Assembly member Jhowa BK, Chief Secretary Raj Kumar Shrestha, secretary at the province ministry of internal affairs and law Jhakka Prasad Acharya and other officials are accompanying the Chief Minister.Spokesperson at the ministry of internal affairs and law Tul Bahadur Khadka said that the Chief Minister's team has reached Mugu along with 250 blankets, sweaters, jackets and 21 tarpaulin sheets.A meeting of the Karnali Province Disaster Management Council on Tuesday decided to provide food stuff and other materials to the fire victims as per the need, spokesperson Khadka said.A huge fire that broke out in Tallo Bazaar of Gamgadhi on November 15 mid-night gutted property worth a hundred millions along with 21 houses.",0
6,"In Kathmandu, Lalitpur and Bhaktapur, the pace and authenticity of post-2015 heritage restoration has been different",Ashish Dhakal,"Restoration of monuments damaged in the 2015 earthquake have been carried out differently in Kathmandu, Lalitpur and Bhaktapur, and this has depended a lot on the political will and community involvement to adhere to traditional building methods and materials.The cohesiveness of the community living in the historic core of the three cities has also determined the pace and accuracy of reconstruction after the 2015 earthquake.Since Bhaktapur and Lalitpur have retained much of the historic sense of community and have elected more accountable mayors, restoration there has gone much better than in Kathmandu.
The Trailokya-Mohan Narayan temple in Kathmandu was originally built in the late 17th century by Parthivendra Malla, Pratap Malla’s son – which makes the white walls uncharacteristic. Photo: ASHISH DHAKAL.
For example, restoration work on the Trailokya-Mohan Narayan temple in Kathmandu is now complete. The plastered walls, wooden colonnade, cornices and tile roofs of the three-storey shrine on a five-stage brick plinth at Hanuman Dhoka have returned to their pre-2015 state.However, for specialists like German architect Wolfgang Korn, the restoration is not quite what it should be. He was surprised to see that the temple had been rebuilt with unpainted plaster that is Rana-style, and not Malla-era as it should be.“The struts in Malla-era temples are always carved, with the red dachi appa used as veneer bricks,” says historian Dinesh Raj Panta, according to whom the temple was originally built in the late 17th century by Parthivendra Malla, Pratap Malla’s son. This makes the white walls uncharacteristic.
Restoration of the nearby Maju Dega is not yet complete, and scaffolds and green net cover the construction. Korn, who made detailed measurements of the temple in the 1970s (see accompanying piece, below) fears that Maju Dega will also repeat the mistakes on the Trailokya-Mohan Narayan.“The Department of Archaeology requires only traditional materials and methods be used in rebuilding these sites,” says Korn. “So, I ask myself why this Rana-style on a Malla-era temple? Where are the carved struts?”",1
7,KP Sharma Oli wrongly refers to little people of Africa as ‘Lilliput’,Sanjog Shiwakoti,"CPN-UML chairman and former Prime Minister KP Sharma Oli, speaking at a function organised by the party’s youth wing National Youth Federation in the capital on September 6, criticised his former party colleagues and the current government. In his almost hour-long speech, Oli attacked the parties in the ruling alliance, particularly the Madhav Kumar Nepal-led splinter group and the Maoists.
Oli said, “There’s a tribe in Africa called Lilliput. They are small people. They begin reproduction when they are seven or eight years old. By the age of 15, they become old and stop reproduction.  Most die at the age of 20, and if someone reaches 25, they would be happy just like when we turn 100 years old. [In Africa], there’s a small tribe, which is unique and is called Lilliput.”
South Asia Check examined the claim.Oli claimed that there are little people called Lilliput in Africa. But, there is no such tribe called Lilliput.Lilliput in fact is the fictional island nation in Jonathan Swift’s famous novel Gulliver’s Travels, published in 1726. In the novel, Lilliput is home to tiny people called Lilliputians, who are just six inches tall. In Lilliput, it is not only people who are short but the whole environment and infrastructures are tiny, too. In the novel, which the British newspaper The Guardian ranked one of 100 best novels in 2013, Swift, an Irish satirist, chronicles the journey of Lemuel Gulliver, the book’s protagonist. The book does not mention the Lilliputians’ biological characteristics but describes them as smart, selfish and violent people. The novel also features Blefuscudians, inhabitants of another tiny island called Blefuscu. Blefuscudians are the enemies of Lilliputians.Our research found that Oli’s description of the people somewhat matched the Pygmy tribes who live in Africa and Asia. Pygmies are hunter-gatherers and are around five feet tall. According to Encyclopedia Britannica, the most known pygmies live in tropical Africa. They live in the jungles of central and west Africa in countries such as Cameroon, Rwanda, Burundi and Congo. Their population is estimated at 120,000.",1
8,Nepal struggles with high adolescent fertility rate,"Rastriya Samachar Samiti
","Fertility rate among adolescents is found to be high in Nepal.According to the Child Welfare Division, fertility rate among adolescents (15-19 age group) is 63 per cent. At an interaction on 'Family planning and reproductive health' organised by the Division here today, Division senior community nursing administration Kabita Aryal said, ""Nepal needs to reduce the fertility rate to 30 per cent by 2030 as per the Sustainable Development Goals. In Nepal, adolescent fertility rate is high and the province wise data shows that Madhesh and Karnali provinces are ahead in this.""It is 61 per cent in Province 1 while 96 per cent in Madhesh, 40 per cent in Bagmati, 58 per cent in Gandaki, 57 per cent in Lumbini, 81 per cent in Karnali and 60 per cent in Sudurpaschim.Teenage pregnancy poses high risk of unnecessary health complications among expectant mothers and increases the risk of maternal mortality rate. The chance of dying in adolescent pregnancy is twice high than in 20-24 years of age, according to Aryal.The existing total fertility rate in Nepal is 2.3 and it was 6.3 in 1976. Increase in marriageable age, use of contraceptive methods, legalisation of abortion and the spousal separation are among the factors for reduced fertility rate in the country.She said the unwanted pregnancies will increase with the decline in the access to and use of contraceptives and this will result in an increase in the number of those undergoing unsafe abortion, thereby increasing the risk on women's health.Teenage pregnancy poses high risk of health complicationsAccording to her, it is also necessary to increase the rate of use of modern contraceptive devices.Forty-three per cent of the total population uses contraceptives in Nepal at present. The government target is to upscale it to 60 per cent until 2030.Similarly, it is stated that the offspring and mother will have better health if children are produced in a gap of three years.Senior Nursing Administrator Aryal said the maternal death rate will be reduced by 30 per cent and the infant mortality rate by 10 per cent while giving birth to children in a gap of three years.The number of persons undergoing permanent family planning is decreasing in the country.The percentage of people undergoing permanent family planning measures has decreased, while the number of people using temporary family planning measures has increased in the last one decade.The percentage of males undergoing vasectomy operation in 2006 was 6.4 and it dropped to 5.5 in 2016.Likewise, the percentage of women undergoing laparoscopy operation for permanent birth control in 2006 was 18 and this decreased to 14.7 in 2016.",0
9,Ram Kumari Jhakri’s claim that Oli didn’t bring any Covid-19 vaccine ,Injina Panthi,"Ram Kumari Jhakri, a politician associated with the proposed Communist Party of Nepal-Unified Socialist, a breakaway faction of the Communist Party of Nepal-Unified Marxist Leninist, speaking on the Yoho Bahas programme aired on August 18 on Yoho TV falsely claimed that Nepal could not import Covid-19 vaccine during the tenure of the erstwhile prime minister KP Sharma Oli. 
During the interview, she said Prime Minister Oli issued a ‘pointy map’ of Nepal and hastily inaugurated the Dharahara in an attempt to project himself as a nationalist and development-oriented leader. She also claimed that there was no development project that was started and completed during his tenure.
She said in the interview, “Show me just one development project that was started and completed during his tenure. Not even the vaccine came. Not even the vaccine, you know….His advisors were tweeting that the 7 million vaccine doses donated by the US to Asia were for Nepal. He would mislead people with such claims and is still trying to do so.”
The claim by Jhakri, who is also a lawmaker in the House of Representatives, that no vaccine came during Oli’s tenure is false.",1
